HL-PN-B-200W-50K-AC,induction,Parking Lot: PN-B,"HyLite Induction Parking Lot: PN-B Series, 200 Watts",200,210,100000,PN-B Series.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionpnbspecsheet.pdf
HL-PN-C-400W-50K-AC,induction,Parking Lot: PN-C,"HyLite Induction Parking Lot: PN-C Series, 400 Watts",400,420,100000,PN-C Series.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionpncspecsheet.pdf
HL-PN-C-500W-50K-AC,induction,Parking Lot: PN-C,"HyLite Induction Parking Lot: PN-C Series, 500 Watts",500,525,100000,PN-C Series.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionpncspecsheet.pdf
HL-FN-A-100W-50K-AC,induction,Flood Light: FN-A,"HyLite Induction Parking Lot: FN-A Series, 100 Watts",100,105,100000,FN-A Series.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionfnaspecsheet.pdf
HL-FN-B-200W-50K-AC,induction,Flood Light: FN-B,"HyLite Induction Parking Lot: FN-B Series, 200 Watts",200,210,100000,FN-B Series.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionfnbspecsheet.pdf
HL-WN-A-40W-50K-AC,induction,Wall Pack: WN-A,"HyLIte Induction Wall Pack: WN-A Series, 40 Watts",40,42,100000,"WN-A, B Series.png",http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionwnabspecsheet.pdf
HL-WN-B-80W-50K-AC,induction,Wall Pack: WN-B,"HyLite Induction Wall Pack: WN-B Series, 80 Watts",80,84,100000,"WN-A, B Series.png",http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionwnabspecsheet.pdf
HL-GN-A-80W-50K-AC,induction,Garage Light: GN-A,"HyLite Induction Garage Light: GN-A Series, 80 Watts",80,84,100000,GN-A Series.png,http://www.arva.us/uploads/2/4/2/8/24289289/hylite_ind._light_spec._sheet_gn-a_series.pdf
HL-GN-A-100W-50K-AC,induction,Garage Light: GN-A,"HyLite Induction Garage Light: GN-A Series, 100 Watts",100,105,100000,GN-A Series.png,http://www.arva.us/uploads/2/4/2/8/24289289/hylite_ind._light_spec._sheet_gn-a_series.pdf
HL-CN-A-200W-50K-AC,induction,Canopy Light: CN-A,"HyLite Induction Canopy Light: CN-A Series, 200 Watts",200,210,100000,CN-A Series.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductioncnaspecsheet.pdf
HL-TN-A-400W-50K-AC,induction,Tunnel Light: TN-A,"HyLite Induction Tunnel Light: TN-A Series, 400 Watts",400,420,100000,TN-A Series.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductiontnaspecsheet.pdf
HL-DN-B-60W-50K-AC,induction,Decorative: DN-B,"HyLite Induction Decorative Light: DN-B Series, 60 Watts",60,63,100000,DN-B Series.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductiondnbspecsheet.pdf
HL-DN-B-80W-50K-AC,induction,Decorative: DN-B,"HyLite Induction Decorative Light: DN-B Series, 80 Watts",80,84,100000,DN-B Series.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductiondnbspecsheet.pdf
HL-HN-Z-400W-27K-AC,induction,Horticultural: HN-Z,"HyLite Induction Horticultural Light: HN-Z Series, 400 Watts ",400,420,100000,NULL,
HL-HN-A-80W-50K-AC,induction,High Bay: HN-A,"HyLite Induction High Bay: HN-A Series, 80 Watts",80,84,100000,HN-A Series.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionhnaspecsheet.pdf
HL-HN-A-100W-50K-AC,induction,High Bay: HN-A,"HyLite Induction High Bay: HN-A Series, 100 Watts",100,105,100000,HN-A Series.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionhnaspecsheet.pdf
HL-HN-A-120W-50K-AC,induction,High Bay: HN-A,"HyLite Induction High Bay: HN-A Series, 120 Watts",120,126,100000,HN-A Series.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionhnaspecsheet.pdf
HL-HN-A-150W-50K-AC,induction,High Bay: HN-A,"HyLite Induction High Bay: HN-A Series, 150 Watts",150,158,100000,HN-A Series.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionhnaspecsheet.pdf
HL-HN-A-200W-50K-AC,induction,High Bay: HN-A,"HyLite Induction High Bay: HN-A Series, 200 Watts",200,210,100000,HN-A Series.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionhnaspecsheet.pdf
HL-HN-A-250W-50K-AC,induction,High Bay: HN-A,"HyLite Induction High Bay: HN-A Series, 250 Watts ",250,263,100000,HN-A Series.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionhnaspecsheet.pdf
HL-HN-A-300W-50K-AC,induction,High Bay: HN-A,"HyLite Induction High Bay: HN-A Series, 300 Watts",300,315,100000,HN-A Series.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionhnaspecsheet.pdf
HL-HN-A-400W-50K-AC,induction,High Bay: HN-A,"HyLite Induction High Bay: HN-A Series, 400 Watts",400,420,100000,HN-A Series.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionhnaspecsheet.pdf
HL-HN-B-80W-50K-AC,induction,High Bay: HN-B,"HyLite Induction High Bay: HN-B Series, 80 Watts",80,84,100000,HN-B Series.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionhnbspecsheet.pdf
HL-HN-B-100W-50K-AC,induction,High Bay: HN-B,"HyLite Induction High Bay: HN-B Series, 100 Watts",100,105,100000,HN-B Series.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionhnbspecsheet.pdf
HL-HN-B-120W-50K-AC,induction,High Bay: HN-B,"HyLite Induction High Bay: HN-B Series, 120 Watts",120,126,100000,HN-B Series.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionhnbspecsheet.pdf
HL-HN-B-150W-50K-AC,induction,High Bay: HN-B,"HyLite Induction High Bay: HN-B Series, 150 Watts",150,158,100000,HN-B Series.png,demo.pdf
HL-HN-B-200W-50K-AC,induction,High Bay: HN-B,"HyLite Induction High Bay: HN-B Series, 200 Watts",200,210,100000,HN-B Series.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionhnbspecsheet.pdf
HL-HN-B-250W-50K-AC,induction,High Bay: HN-B,"HyLite Induction High Bay: HN-B Series, 250 Watts",250,263,100000,HN-B Series.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionhnbspecsheet.pdf
HL-HN-C-300W-50KAC,induction,High Bay: HN-C,"HyLite Induction High Bay: HN-C Series, 300 Watts",300,315,100000,HN-C Series.png,http://www.arva.us/uploads/2/4/2/8/24289289/hylite_induction_hn-c_series.pdf
HL-HN-C-400W-50K-AC,induction,High Bay: HN-C,"HyLite Induction High Bay: HN-C Series, 400 Watts",400,420,100000,HN-C Series.png,http://www.arva.us/uploads/2/4/2/8/24289289/hylite_induction_hn-c_series.pdf
HL-SLN-40W-50K-AC,induction,Security Light: SLN,"HyLite Induction Security Light: SLN Series, 40 Watts",40,42,100000,"HyLite Security Light, SL-12.png",http://www.arva.us/uploads/2/4/2/8/24289289/hylitesecuritylightspecsheet.pdf
HL-SLN-60W-50K-AC,induction,Security Light: SLN,"HyLite Induction Security Light: SLN Series, 60 Watts",60,63,100000,"HyLite Security Light, SL-12.png",http://www.arva.us/uploads/2/4/2/8/24289289/hylitesecuritylightspecsheet.pdf
HL-SLN-80W-50K-AC,induction,Security Light: SLN,"HyLite Induction Security Light: SLN Series, 80 Watts",80,84,100000,"HyLite Security Light, SL-12.png",http://www.arva.us/uploads/2/4/2/8/24289289/hylitesecuritylightspecsheet.pdf
HL-USB-40W-E39-50K-AC,induction,U-Type,HyLite Induction U-Type Bulb: 40 Watts,40,42,100000,U-Shape Induction Bulb.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionushapebulb.pdf
HL-USB-60W-E39-50K-AC,induction,U-Type,HyLite Induction U-Type Bulb: 60 Watts,60,63,100000,U-Shape Induction Bulb.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionushapebulb.pdf
HL-USB-80W-E39-50K-AC,induction,U-Type,HyLite Induction U-Type Bulb: 80 Watts,80,84,100000,U-Shape Induction Bulb.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionushapebulb.pdf
HL-RF-RDB-E26-40W-50K-AC,induction,Retrofit Kit,"HyLite Induction Retrofit Kit With Ballast: E26, 40 Watts",40,42,100000,Round Retrofit Induction Lamp.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionretrofitkitspecsheet.pdf
HL-RF-RDB-E26-60W-50K-AC,induction,Retrofit Kit,"HyLite Induction Retrofit Kit With Ballast: E26, 60 Watts",60,63,100000,Round Retrofit Induction Lamp.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionretrofitkitspecsheet.pdf
HL-RF-RDB-E39-40W-50K-AC,induction,Retrofit Kit,"HyLite Induction Retrofit Kit with Ballast: E39, 40 Watts",40,42,100000,Round Retrofit Induction Lamp.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionretrofitkitspecsheet.pdf
HL-RF-RDB-E39-60W-50K-AC,induction,Retrofit Kit,"HyLite Induction Retrofit Kit with Ballast: E39, 60 Watts",60,63,100000,Round Retrofit Induction Lamp.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionretrofitkitspecsheet.pdf
HL-RF-RDB-E39-80W-50K-AC,induction,Retrofit Kit,"HyLite Induction Retrofit Kit with Ballast: E39, 80 Watts",80,84,100000,Round Retrofit Induction Lamp.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionretrofitkitspecsheet.pdf
HL-RF-RDB-E39-100W-50K-AC,induction,Retrofit Kit,"HyLite Induction Retrofit Kit with Ballast: E39, 100 Watts",100,105,100000,Round Retrofit Induction Lamp.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionretrofitkitspecsheet.pdf
HL-RF-RDB-E39-120W-50K-AC,induction,Retrofit Kit,"HyLite Induction Retrofit Kit with Ballast: E39, 120 Watts",120,126,100000,Round Retrofit Induction Lamp.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionretrofitkitspecsheet.pdf
HL-RF-RDB-E39-150W-50K-AC,induction,Retrofit Kit,"HyLite Induction Retrofit Kit with Ballast: E39, 150 Watts",150,158,100000,Round Retrofit Induction Lamp.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionretrofitkitspecsheet.pdf
HL-RF-RDB-E39-200W-50K-AC,induction,Retrofit Kit,"HyLite Induction Retrofit Kit with Ballast: E39, 200 Watts",200,210,100000,Round Retrofit Induction Lamp.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionretrofitkitspecsheet.pdf
HL-RF-RDB-E39-250W-50K-AC,induction,Retrofit Kit,"HyLite Induction Retrofit Kit with Ballast: E39, 250 Watts",250,263,100000,Round Retrofit Induction Lamp.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionretrofitkitspecsheet.pdf
HL-RF-RDB-E39-300W-50K-AC,induction,Retrofit Kit,"HyLite Induction Retrofit Kit with Ballast: E39, 300 Watts",300,315,100000,Round Retrofit Induction Lamp.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionretrofitkitspecsheet.pdf
HL-RF-RDB-E39-400W-50K-AC,induction,Retrofit Kit,"HyLite Induction Retrofit Kit with Ballast: E39, 400 Watts",400,420,100000,Round Retrofit Induction Lamp.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteinductionretrofitkitspecsheet.pdf
HL-T8-2C-10W-50K,led,T8 2ft. Tube ,"HyLite LED T8 Tube Light: 2 ft. 10 Watts,  Daylight",10,10,50000,HyLite LED T8 Tube Lights.png,http://www.arva.us/uploads/2/4/2/8/24289289/hylite_led_t8_tube_lights_spec._sheet.pdf
HL-T8-2C-10WD-50K,led,T8 2ft. Tube ,"HyLite LED T8 Tube Light: 2 ft. 10 Watts, Dimmable, Daylight",10,10,50000,HyLite LED T8 Tube Lights.png,http://www.arva.us/uploads/2/4/2/8/24289289/hylite_led_t8_tube_lights_spec._sheet.pdf
HL-T8-4C-18W-50K,led,T8 4ft. Tube,"HyLite LED T8 Tube Light: 4 ft. 18 Watts, Daylight",18,18,50000,HyLite LED T8 Tube Lights.png,http://www.arva.us/uploads/2/4/2/8/24289289/hylite_led_t8_tube_lights_spec._sheet.pdf
HL-T8-4C-18W-57K,led,T8 4ft. Tube,"HyLite LED T8 Tube Light: 4 ft. 18 Watts, Cool White",18,18,50000,HyLite LED T8 Tube Lights.png,http://www.arva.us/uploads/2/4/2/8/24289289/hylite_led_t8_tube_lights_spec._sheet.pdf
HL-T8-4C-18WD-50K,led,T8 4ft. Tube,"HyLite LED T8 Tube Light: 4 ft. 18 Watts, Dimmable, Daylight",18,18,50000,HyLite LED T8 Tube Lights.png,http://www.arva.us/uploads/2/4/2/8/24289289/hylite_led_t8_tube_lights_spec._sheet.pdf
HL-T8-5C-24W-50K,led,T8 5ft. Tube,"HyLite LED T8 Tube Light: 5 ft. 24 Watts, Daylight",24,24,50000,HyLite LED T8 Tube Lights.png,http://www.arva.us/uploads/2/4/2/8/24289289/hylite_led_t8_tube_lights_spec._sheet.pdf
HL-T8-5C-24W-57K,led,T8 5ft. Tube,"HyLite LED T8 Tube Light: 5 ft. 24 Watts, Cool White ",24,24,50000,HyLite LED T8 Tube Lights.png,http://www.arva.us/uploads/2/4/2/8/24289289/hylite_led_t8_tube_lights_spec._sheet.pdf
HL-T8-6C-28W-50K,led,T8 6ft. Tube,"HyLite LED T8 Tube Light: 6 ft. 28 Watts, Daylight",28,28,50000,HyLite LED T8 Tube Lights.png,http://www.arva.us/uploads/2/4/2/8/24289289/hylite_led_t8_tube_lights_spec._sheet.pdf
HL-T8-6C-28W-57K,led,T8 6ft. Tube,"HyLite LED T8 Tube Light: 6 ft. 28 Watts, Cool White ",28,28,50000,HyLite LED T8 Tube Lights.png,http://www.arva.us/uploads/2/4/2/8/24289289/hylite_led_t8_tube_lights_spec._sheet.pdf
HL-T8-8C-36W-50K,led,T8 8ft. Tube,"HyLite LED T8 Tube Light: 8 ft. 36 Watts, Daylight",36,36,50000,HyLite LED T8 Tube Lights.png,http://www.arva.us/uploads/2/4/2/8/24289289/hylite_led_t8_tube_lights_spec._sheet.pdf
HL-T8-8C-36W-57K,led,T8 8ft. Tube,"HyLite LED T8 Tube Light: 8 ft. 36 Watts, Cool White ",36,36,50000,HyLite LED T8 Tube Lights.png,http://www.arva.us/uploads/2/4/2/8/24289289/hylite_led_t8_tube_lights_spec._sheet.pdf
HL-XPL-2-30W-50K,led,2 ft. XPL,"HyLite LED XPL Light: 2 ft. 30 Watts, Daylight",30,30,50000,HyLite LED XPL Light.png,http://www.arva.us/uploads/2/4/2/8/24289289/hylite_led_xpl_linear_light.pdf
HL-XPL-4-60W-50K,led,4 ft. XPL,"HyLite LED XPL Light: 4 ft. 60 Watts, Daylight",60,60,50000,HyLite LED XPL Light.png,http://www.arva.us/uploads/2/4/2/8/24289289/hylite_led_xpl_linear_light.pdf
HL-FPW-22-40W-50K,led,2x2 Panel ,"HyLite LED Flat Panel Light: 2x2 ft. 40 Watts, Daylight",40,40,50000,"HyLite LED Flat Panel, 2x2.png",
HL-FPW-22-40WD-50K,led,2x2 Panel ,"HyLite LED Flat Panel Light: 2x2 ft. 40 Watts, Dimmable, Daylight",40,40,50000,"HyLite LED Flat Panel, 2x2.png",
HL-FPW-22-40W-35K,led,2x2 Panel ,"HyLite LED Flat Panel Light: 2x2 ft. 40 Watts, Soft White ",40,40,50000,"HyLite LED Flat Panel, 2x2.png",
HL-FPW-22-40WD-35K,led,2x2 Panel ,"HyLite LED Flat Panel Light: 2x2 ft. 40 Watts, Dimmable, Soft White ",40,40,50000,"HyLite LED Flat Panel, 2x2.png",
HL-FPW-24-66W-50K,led,2x4 Panel,"HyLite LED Flat Panel Light: 2x4 ft. 66 Watts, Daylight",66,66,50000,"HyLite LED Flat Panel, 2x4.png",
HL-FPW-24-66WD-50K,led,2x4 Panel,"HyLite LED Flat Panel Light: 2x4 ft. 66 Watts, Dimmable, Daylight",66,66,50000,"HyLite LED Flat Panel, 2x4.png",
HL-FPW-24-66W-35K,led,2x4 Panel,"HyLite LED Flat Panel Light: 2x4 ft. 66 Watts, Soft White ",66,66,50000,"HyLite LED Flat Panel, 2x4.png",
HL-FPW-24-66WD-35K,led,2x4 Panel,"HyLite LED Flat Panel Light: 2x4 ft. 66 Watts, Dimmable, Soft White ",66,66,50000,"HyLite LED Flat Panel, 2x4.png",
HL-CL-6-11W-50K,led,Ceiling Light ,"HyLite LED Ceiling Light: 6"", 11 Watts, Daylight",11,11,50000,HyLite LED Ceiling Light.png,
HL-CL-6-11WD-50K,led,Ceiling Light ,"HyLite LED Ceiling Light: 6"", 11 Watts, Dimmable, Daylight",11,11,50000,HyLite LED Ceiling Light.png,
HL-CL-6-11W-35K,led,Ceiling Light ,"HyLite LED Ceiling Light: 6"", 11 Watts, Soft White ",11,11,50000,HyLite LED Ceiling Light.png,
HL-CL-6-11WD-35K,led,Ceiling Light ,"HyLite LED Ceiling Light: 6"", 11 Watts, Dimmable, Soft White ",11,11,50000,HyLite LED Ceiling Light.png,
HL-DL-6-25W-50K,led,Down Light,"HyLite LED Down Light: 6"", 25 Watts, Daylight",25,25,50000,HyLite LED Downlight.png,
HL-DL-6-25W-35K,led,Down Light,"HyLite LED Down Light: 6"", 25 Watts, Soft White ",25,25,50000,HyLite LED Downlight.png,
HL-DL-8-35W-50K,led,Down Light,"HyLite LED Down Light: 8"", 35 Watts, Daylight",35,35,50000,HyLite LED Downlight.png,
HL-DL-8-35W-35K,led,Down Light,"HyLite LED Down Light: 8"", 35 Watts, Soft White ",35,35,50000,HyLite LED Downlight.png,
HL-A15-6W-50K,led,A15 Bulb,"HyLite LED A15 Bulb: 6 Watts, Daylight",6,6,50000,"HyLite LED Bulb, A15-6W-E27.png",http://www.arva.us/uploads/2/4/2/8/24289289/hyliteleda15bulb6wspecsheet.pdf
HL-A19-8W-50K,led,A19 Bulb,"HyLite LED A19 Bulb: 8 Watts, Daylight",8,8,50000,"HyLite LED Bulb, A19-8W-E27.png",http://www.arva.us/uploads/2/4/2/8/24289289/hyliteleda19bulb8wspecsheet.pdf
HL-A19-8WD-50K,led,A19 Bulb,"HyLite LED A19 Bulb: 8 Watts, Dimmable, Daylight",8,8,50000,"HyLite LED Bulb, A19-8W-E27.png",http://www.arva.us/uploads/2/4/2/8/24289289/hyliteleda19bulb8wspecsheet.pdf
HL-A19-8W-35K,led,A19 Bulb,"HyLite LED A19 Bulb: 8 Watts, Soft White ",8,8,50000,"HyLite LED Bulb, A19-8W-E27.png",http://www.arva.us/uploads/2/4/2/8/24289289/hyliteleda19bulb8wspecsheet.pdf
HL-A19-8WD-35K,led,A19 Bulb,"HyLite LED A19 Bulb: 8 Watts, Dimmable, Soft White ",8,8,50000,"HyLite LED Bulb, A19-8W-E27.png",http://www.arva.us/uploads/2/4/2/8/24289289/hyliteleda19bulb8wspecsheet.pdf
HL-A25-12W-50K,led,A25 Bulb,"HyLite LED A25 Bulb: 12 Watts, Daylight",12,12,50000,"HyLite LED Bulb, A25-12W-E27.png",http://www.arva.us/uploads/2/4/2/8/24289289/hyliteleda25bulb12wspecsheet.pdf
HL-A25-12W-35K,led,A25 Bulb,"HyLite LED A25 Bulb: 12 Watts, Soft White ",12,12,50000,"HyLite LED Bulb, A25-12W-E27.png",http://www.arva.us/uploads/2/4/2/8/24289289/hyliteleda25bulb12wspecsheet.pdf
HL-P20-8W-E27-50K,led,PAR 20,"HyLite LED PAR Bulb: PAR 20, 8 Watts, Daylight",8,8,50000,HyLite LED PAR Bulb.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteledparbulbsspecsheet.pdf
HL-P20-8WD-E27-50K,led,PAR 20,"HyLite LED PAR Bulb: PAR 20, 8 Watts, Dimmable, Daylight",8,8,50000,HyLite LED PAR Bulb.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteledparbulbsspecsheet.pdf
HL-P30-12W-E27-50K,led,PAR 30,"HyLite LED PAR Bulb: PAR 30, 12 Watts, Daylight",12,12,50000,HyLite LED PAR Bulb.png,http://www.arva.us/uploads/2/4/2/8/24289289/hyliteledparbulbsspecsheet.pdf
